#Parameters = {Er=4.4; IE=60; P1=0; P2=-49.398; P3=177.553; P4=36.514; PAA_FA_EXCITELIST=1; PAA_FA_FREQ=2.25; PAA_FA_SCANPHI=0; PAA_FA_SCANTHETA=0; PAA_UC_ANGLE=90; PAA_UC_DS1=60; PAA_UC_DS2=80; PAA_UC_PHI=0; PAA_UC_THETA=0; antx=41; anty=30.2; dumy=0; insx=1.5; insy=8; sbh=1.2; sbx=80; sby=80; trx=2.98}
#"Theta / deg"	"Gain,Phi=0.0 (502) []"
#-------------------------------------
140.00000000000	-10.739802638782
141.00000000000	-10.917081099616
142.00000000000	-11.115977096612
143.00000000000	-11.338182884043
144.00000000000	-11.585496275962
145.00000000000	-11.859836655127
146.00000000000	-12.163263250921
147.00000000000	-12.498418896985
148.00000000000	-12.866858438101
149.00000000000	-13.271638339401
150.00000000000	-13.715604004179
151.00000000000	-14.201855207259
152.00000000000	-14.733758741777
153.00000000000	-15.314941169788
154.00000000000	-15.949241165190
155.00000000000	-16.640583677474
156.00000000000	-17.392706701237
157.00000000000	-18.208614731310
158.00000000000	-19.089533589598
159.00000000000	-20.032978892509
160.00000000000	-21.029329674258
161.00000000000	-22.056161990734
162.00000000000	-23.070147818719
163.00000000000	-23.999130340127
164.00000000000	-24.744509105372
165.00000000000	-25.204339232045
166.00000000000	-25.327323045005
167.00000000000	-25.144328001104
168.00000000000	-24.749311334187
169.00000000000	-24.248603792820
170.00000000000	-23.726083433731
171.00000000000	-23.235773214109
172.00000000000	-22.808329416562
173.00000000000	-22.459644556834
174.00000000000	-22.197351693515
175.00000000000	-22.024922180080
176.00000000000	-21.944060096927
177.00000000000	-21.956067510698
178.00000000000	-22.062630050446
179.00000000000	-22.266283518223
180.00000000000	-22.572550307130
#Parameters = {Er=4.4; IE=60; P1=0; P2=154.457; P3=-111.054; P4=-113.008; PAA_FA_EXCITELIST=1; PAA_FA_FREQ=2.25; PAA_FA_SCANPHI=0; PAA_FA_SCANTHETA=0; PAA_UC_ANGLE=90; PAA_UC_DS1=60; PAA_UC_DS2=80; PAA_UC_PHI=0; PAA_UC_THETA=0; antx=41; anty=30.2; dumy=0; insx=1.5; insy=8; sbh=1.2; sbx=80; sby=80; trx=2.98}
#"Theta / deg"	"Gain,Phi=0.0 (504) []"
#-------------------------------------
-180.00000000000	-12.591670296140
